cl010052621;"Personnages dans des ruines";"Anonyme ; Italie";"1600 / 1700  (XVIIe siècle)";"MNR 310";"Département des Peintures";;"non exposé";MNR
cl010052625;"Vierge à l'Enfant";"Italie ; Pignoni, Simone";"1600 / 1700  (XVIIe siècle)";"MI 1185";"Département des Peintures";;"Bagnères-de-Bigorre (France), Musée Salies, salle d'exposition";
cl010052626;"Mascarade italienne ou L'Arracheur de dents";"Cerquozzi, Michelangelo ; Italie";"1600 / 1700  (XVIIe siècle)";"INV 248; MR 152; 29";"Département des Peintures";;"Mirande (France), Musée des Beaux-Arts, salle d'exposition";
cl010052627;"Loth et ses filles";"Franceschini, Baldassare da Voltera ; Italie";"1600 / 1700  (XVIIe siècle)";"MI 1161";"Département des Peintures";;"Auch (France), Musée des Amériques";
cl010052628;"L'Institution du Rosaire";"Italie ; Morandi, Giovanni Maria";"1600 / 1700  (XVIIe siècle)";"RF 2137; D 1958-1-1";"Département des Peintures";;"non exposé";
cl010052636;"La Vierge et l'Enfant";"Anonyme ; Italie";"1400 / 1500  (XVe siècle)";"MI 511; Campana 88";"Département des Peintures";;"Auch (France), Musée des Amériques";
cl010052637;"Zacharie en méditation";"France ; Vignon, Claude";"1600 / 1700  (XVIIe siècle)";"INV 845; B 137";"Département des Peintures";;"Mirande (France), Musée des Beaux-Arts, salle d'exposition";
cl010052638;"Tête d'homme";"Anonyme ; Italie";"1600 / 1700  (XVIIe siècle)";"INV 892; B 366";"Département des Peintures";;"Mirande (France), Musée des Beaux-Arts";
cl010052639;"Tête d'homme";"Anonyme ; Italie";"1600 / 1700  (XVIIe siècle)";"MI 1198  ; 121";"Département des Peintures";;"non exposé";
cl010052640;"Fleurs et fruits";"Anonyme ; Italie";"1600 / 1700  (XVIIe siècle)";"MI 1204";"Département des Peintures";;"non exposé";
cl010052641;"Saint Thomas de Villeneuve faisant l'aumône";"Anonyme ; Italie";"1600 / 1700  (XVIIe siècle)";"RF 1956 8; D 1957-2-1";"Département des Peintures";;"non exposé";
cl010052642;"Portrait équestre du marquis de Leganés";"Crayer, Gaspard de ; Pays-Bas du Sud ; Snayers, Pieter";1635;"MNR 564";"Département des Peintures";;"non exposé";MNR
cl010052643;"Orphée charmant les animaux";"Keirincx, Alexandre ; Pays-Bas";"1600 / 1700  (XVIIe siècle)";"MNR 412";"Département des Peintures";;"Rodez (France), Musée des Beaux-Arts Denys Puech";MNR
cl010052644;"Scène de famille";"Picolet, Cornelis ; Pays-Bas";"1600 / 1700  (XVIIe siècle)";"MNR 766";"Département des Peintures";;"non exposé";MNR
cl010052645;"Portrait de jeune fille";"Santvoort, Pieter van [Dircksz.] ; Pays-Bas";"1600 / 1700  (XVIIe siècle)";"MNR 455";"Département des Peintures";;"non exposé";MNR
cl010052648;Paysage;"Bril, Paul ; Pays-Bas du Sud";1620;"INV 1119; MR 1002";"Département des Peintures";;"non exposé";
cl010052649;"Intérieur de cabaret";"Brouwer, Adriaen ; Pays-Bas du Sud";"1600 / 1700  (XVIIe siècle)";"MI 1246; D 1872-4-1";"Département des Peintures";;"non exposé";
cl010052650;"Tête de moine";"Dyck, Antoon van ; Pays-Bas du Sud";"1600 / 1700  (XVIIe siècle)";"MI 1263";"Département des Peintures";;"Montauban (France), Musée Ingres-Bourdelle, salle d'exposition";
cl010052651;"Le Christ aux outrages";"Anonyme ; Pays-Bas du Sud";"1600 / 1700  (XVIIe siècle)";"RF 1946 18";"Département des Peintures";;"non exposé";
cl010052652;"Portrait d'un peintre";"Hals, Frans ; Pays-Bas";"1600 / 1700  (XVIIe siècle)";"MI 1275; D 872 6 1";"Département des Peintures";;"non exposé";
cl010052653;"Silène et les quatre saisons";"Jordaens, Jacob ; Pays-Bas du Sud";"1600 / 1700  (XVIIe siècle)";"MI 1288";"Département des Peintures";;"non exposé";
cl010052654;"Portrait de femme,1631";"Keyser, Thomas de ; Pays-Bas";"1600 / 1700  (XVIIe siècle)";"MI 1301; D 872 1 5";"Département des Peintures";;"Tarbes (France), Musée Massey";
cl010052655;"La Vocation de saint Matthieu";"Wautier, Charles ; Pays-Bas du Sud";"1600 / 1700  (XVIIe siècle)";"RF 1951 5";"Département des Peintures";;"non exposé";
cl010052656;"Portrait de femme";"Maes, Nicolaes ; Pays-Bas";"1600 / 1700  (XVIIe siècle)";"MI 1351";"Département des Peintures";;"non exposé";
cl010052658;"La Chasse au sanglier";"Pays-Bas du Sud ; Rubens, Petrus Paulus";"1600 / 1700  (XVIIe siècle)";"MI 1314";"Département des Peintures";;"non exposé";
cl010052660;"Portrait d'homme vêtu de noir";"Anonyme ; Pays-Bas du Sud";"1600 / 1700  (XVIIe siècle)";"INV 2107; LP 435";"Département des Peintures";;"Foix (France), Musée départemental de l'Ariège";
cl010052661;"Portrait d'un officier espagnol";"Anonyme ; Pays-Bas du Sud";"1600 / 1700  (XVIIe siècle)";"INV 2119; LP 453; D 1955-2-1";"Département des Peintures";;"non exposé";
cl010052662;Paysage;"Anonyme ; Pays-Bas du Sud";"1600 / 1700  (XVIIe siècle)";"RF 1015";"Département des Peintures";;"non exposé";
cl010052663;"Apothéose d'un saint. Esquisse de plafond";"Pellegrini, Giovanni Antonio ; Italie";"vers 1723";"MI 1175; D 872 1 6";"Département des Peintures";;"Tarbes (France), Musée Massey";
cl010052664;"Notre-Dame de Lorette";"Anonyme ; Hispano-américaine";"1800 / 1900  (XIXe siècle)";"MNR 788";"Département des Peintures";;"Auch (France), Musée des Amériques, salle d'exposition";MNR
cl010052665;"La Vierge, l'Enfant, saint Sébastien et sainte Ursule";"Basaiti, Marco ; Italie";"1500 / 1600  (XVIe siècle)";"MNR 268; D 1959 4";"Département des Peintures";;"Toulouse (France), Musée des Augustins, salle d'exposition";MNR
cl010052666;"Nativité et Adoration des bergers";"Anonyme ; Italie Ombrie";"1500 / 1540  (Début du XVIe siècle)";"MNR 243";"Département des Peintures";;"non exposé";MNR
cl010052667;"Personnages sous un portique";"Codazzi, Niccolo ; Italie";"1681 / 1682  (4e quart du XVIIe siècle)";"MNR 296";"Département des Peintures";;"non exposé";MNR
cl010052668;"La Charité";"Fontebasso, Francesco ; Italie";"1745 / 1750  (2e quart du XVIIIe siècle)";"MNR 292; MID 55 2 2";"Département des Peintures";;"Montauban (France), Musée Ingres-Bourdelle, salle d'exposition";MNR
cl010052669;"Allégorie de la Justice ou Venise trônant";"Fontebasso, Francesco ; Italie";"1700 / 1800  (XVIIIe siècle)";"MNR 314";"Département des Peintures";;"non exposé";MNR
cl010052671;"Sainte Famille";"Italie ; Girolamo del Pacchia";"1500 / 1600  (XVIe siècle)";"MNR 827; D 55-7-2";"Département des Peintures";;"Tarbes (France), Musée Massey";MNR
cl010052672;"Scène champêtre (Rébecca à la fontaine)";"Italie ; Paolo Caliari, dit Veronese";"1500 / 1600  (XVIe siècle)";"MNR 793; CA-1-127";"Département des Peintures";;"Cahors (France), Musée de Cahors - Henri Martin";MNR
cl010052673;Cavalier;"Anonyme ; Italie";"1400 / 1500  (XVe siècle)";"MNR 761";"Département des Peintures";;"Mirande (France), Musée des Beaux-Arts, salle d'exposition";MNR
cl010052674;"Enfant sur un cheval";"Anonyme ; Italie";"1400 / 1500  (XVe siècle)";"MNR 797";"Département des Peintures";;"Mirande (France), Musée des Beaux-Arts, salle d'exposition";MNR
cl010052675;"Scène de chasse (Panneau de cassone)";"Anonyme ; Italie";"1440 / 1460  (Milieu du XVe siècle)";"MNR 850";"Département des Peintures";;"Toulouse (France), Musée des Augustins, salle d'exposition";MNR
cl010052676;"Saint Dominique";"Italie ; Anonyme";"1500 / 1540  (Début du XVIe siècle)";"MNR 273; D 1952-3";"Département des Peintures";;"Toulouse (France), Musée des Augustins, salle d'exposition";MNR
cl010052677;"Personnages dans des ruines";"Anonyme ; Italie";"1600 / 1700  (XVIIe siècle)";"MNR 311";"Département des Peintures";;"non exposé";MNR
cl010052678;"Moine écrivant";"Anonyme ; Italie";"1600 / 1700  (XVIIe siècle)";"MNR 621; D.57.11";"Département des Peintures";;"non exposé";MNR
cl010052679;"L'Immaculée Conception";"Anonyme ; Italie ; Guardi, Gianantonio";"1700 / 1800  (XVIIIe siècle)";"MNR 297; D 1952 5 4";"Département des Peintures";;"non exposé";MNR
cl010052680;"Adoration des Mages";"Clerck, Hendrick de ; Pays-Bas du Sud";1614;"MNR 831";"Département des Peintures";;"Tarbes (France), Musée Massey";MNR
cl010052681;"La Vierge, l'Enfant, saint Jean l'Évangéliste et saint Jérome, triptyque";"Coecke van Aelst, Pieter ; Pays-Bas du Sud ; Coecke van Aelst, Pieter";"1500 / 1600  (XVIe siècle)";"MNR 393";"Département des Peintures";;"Tarbes (France), Musée Massey";MNR
cl010052682;"Intérieur de palais";"Delen, Dirck van ; Pays-Bas";1626;"MNR 480";"Département des Peintures";;"non exposé";MNR
cl010052683;"Flore, Pomone et Cérès";"Pays-Bas du Sud ; Rubens, Petrus Paulus";"1600 / 1700  (XVIIe siècle)";"MNR 573";"Département des Peintures";;"Auch (France), Musée des Amériques, salle d'exposition";MNR
cl010052684;"Portrait de femme";"Anonyme ; Pays-Bas du Sud";"1500 / 1600  (XVIe siècle)";"MNR 26; D 1956-1";"Département des Peintures";;"non exposé";MNR
cl010052685;"Scène de marché";"Pays-Bas du Sud ; Goubau, Antoon";1630;"MNR 778; D 60-12-2";"Département des Peintures";;"Tarbes (France), Musée Massey";MNR
cl010052686;"Vase de fleurs à la console";"Delacroix, Eugène ; France";"1848 / 1850  (2e quart du XIXe siècle)";"MNR 162";"Département des Peintures";;"non exposé";MNR
cl010052687;"Nina chantant la romance, dit aussi Femme à la mandoline";"France ; Van Gorp, Henri Nicolas";"1775 / 1825  (Fin du XVIIIe siècle - début du XIXè siècle)";"MNR 763; D 1967-1";"Département des Peintures";;"non exposé";MNR
cl010052688;"Portrait présumé de Pascal François Boério, commissaire ordonnateur de division";"France ; Gros, Antoine-Jean Baron";"vers 1798";"MNR 139";"Département des Peintures";;"non exposé";MNR
cl010052689;"Tête de Jupiter";"France ; Ingres, Jean-Auguste-Dominique";1810;"MNR 147";"Département des Peintures";;"Montauban (France), Musée Ingres-Bourdelle, salle d'exposition";MNR
cl010052690;"Angélique, réplique d'atelier";"France ; Ingres, Jean-Auguste-Dominique";"1800 / 1900  (XIXe siècle)";"MNR 153; D 54-1-1";"Département des Peintures";;"non exposé";MNR
cl010052691;"Le Duc d'Albe à Sainte-Gudule à Bruxelles";"France ; Ingres, Jean-Auguste-Dominique";"vers 1815";"MNR 872";"Département des Peintures";;"non exposé";MNR
cl010052692;"La Paix";"France ; Lépicié, Nicolas-Bernard";1772;"MNR 746";"Département des Peintures";;"non exposé";MNR
cl010052693;"Les Chiens savants";"France ; Watteau, Louis Joseph";1785;"MNR 238";"Département des Peintures";;"Auch (France), Musée des Amériques, salle d'exposition";MNR
cl010052694;"Portrait de femme à mi-corps";"Anonyme ; France";1570;"MNR 14";"Département des Peintures";;"Tarbes (France), Musée Massey";MNR
cl010052695;"Présentation de l'Enfant Jésus au temple";"Anonyme ; France";"1700 / 1800  (XVIIIe siècle)";"MNR 110; D 56-2-1";"Département des Peintures";;"Tarbes (France), Musée Massey";MNR
cl010052698;"Paysage avec figures et animaux ; coucher du soleil, rentrée des bergers";"Vanderburch, Jacques André Édouard ; France";"1700 / 1800  (XVIIIe siècle)";"INV 3089; MR 2555";"Département des Peintures";;"Cahors (France), Musée de Cahors - Henri Martin";
cl010052699;"Saint Louis tenant les instruments de la passion";"France ; Frère Luc";"1600 / 1700  (XVIIe siècle)";"INV 6710; MR 1987";"Département des Peintures";;"Albi (France), Préfecture du Tarn, salle d'exposition";
cl010052700;"Vue du monument élevé à la mémoire de Henri IV dans la plaine d'Ivry";"Bidauld, Jean Joseph Xavier ; France";1822;"INV 2587; L 3786";"Département des Peintures";;"Toulouse (France), Hôtel du Commandement militaire (Palais Niel), salle d'exposition";
cl010052702;"Vénus ramène Hélène à Pâris";"Bosio, Jean François ; France";"1800 / 1900  (XIXe siècle)";"INV 2700; L 3684; 209";"Département des Peintures";;"Mirande (France), Musée des Beaux-Arts, salle d'exposition";
cl010052703;"Berger et bergère";"Boucher, François ; France";"1700 / 1800  (XVIIIe siècle)";"MI 1359";"Département des Peintures";;"non exposé";
cl010052705;"Sainte Famille";"Chalette, Jean ; France";"1600 / 1700  (XVIIe siècle)";"RF 1960 55";"Département des Peintures";;"non exposé";
cl010052706;"Portrait de Jean Caulet";"Chalette, Jean ; France";1635;"RF 1949 22";"Département des Peintures";;"Toulouse (France), Musée des Augustins, salle d'exposition";
cl010052707;"Portrait en pied du comte Clausel";"Champmartin, Émile Callande de ; France";1832;"INV 3195; LP 103";"Département des Peintures";;"Foix (France), Musée départemental de l'Ariège";
cl010052711;Pièta;"Smetz, Jacques ; Pays-Bas du Sud";"1700 / 1800  (XVIIIe siècle)";"RF 1955 25";"Département des Peintures";;"non exposé";
cl010052712;"Nature morte au vase de fleurs";"Smetz, Jacques ; Pays-Bas du Sud";1736;"RF 1957 14";"Département des Peintures";;"Auch (France), Musée des Amériques, salle d'exposition";
cl010052713;"Nature morte aux poissons et cartes à jouer";"Smetz, Jacques ; Pays-Bas du Sud";1736;"RF 1957 15";"Département des Peintures";;"Auch (France), Musée des Amériques, salle d'exposition";
cl010052718;"Une Nymphe chasseresse sortant du bain.";"Pallière, Léon ; France";1817;"INV 7082; L 3866; P 329";"Département des Peintures";;"Doullens (France), Musée Lombart";
cl010052719;"Chasse à l'éléphant";"Parrocel, Charles ; France";1737;"INV 7108 bis; B 1308; Inv 2088";"Département des Peintures";;"Amiens (France), Musée de Picardie, salle d'exposition";
cl010052721;"Chasse au taureau sauvage";"Parrocel, Charles ; France";1738;"INV 7125; B 924; 2088";"Département des Peintures";;"Amiens (France), Musée de Picardie, salle d'exposition";
cl010052722;"Chasse à l'éléphant (esquisse)";"Parrocel, Charles ; France";1738;"RF 1959 14; M.P.P. 4391";"Département des Peintures";;"non exposé";
cl010052723;"Chasse au taureau sauvage. Esquisse";"Parrocel, Charles ; France";1738;"RF 1959 15; 4390";"Département des Peintures";;"Amiens (France), Musée de Picardie, salle d'exposition";
cl010052724;"Chasse chinoise";"Pater, Jean-Baptiste ; France";1736;"INV 7144; MR 2566";"Département des Peintures";;"Amiens (France), Musée de Picardie, salle d'exposition";
cl010052726;"La Cène";"Restout, Jean II ; France ; Jouvenet, Jean";"1700 / 1800  (XVIIIe siècle)";"INV 7443; B 959 A";"Département des Peintures";;"Amiens (France), Musée de Picardie";
cl010052735;"Cavalier arabe devant une boutique, esquisse";"Chassériau, Théodore ; France";"1849 / 1856  (XIXe siècle)";"RF 3895; D 1937 1 1";"Département des Peintures";;"Tours (France), Musée des Beaux-Arts, salle d'exposition";
cl010052737;"Pygmalion et sa statue au moment où elle s'anime, esquisse";"Deshays, Jean Baptiste Henri ; France";"1750 / 1775  (3e quart du XVIIIe siècle)";"MI 1374; D 1872.3.1";"Département des Peintures";;"Tours (France), Musée des Beaux-Arts, salle d'exposition";
cl010052738;"Vue des Cascatelles de Tivoli et du Temple de la Sibylle avec Horace méditant";"Hue, Jean-François ; France";1786;"INV 5407; MR 1841; D 1942-1-1";"Département des Peintures";;"Tours (France), Musée des Beaux-Arts, salle d'exposition";
cl010052739;"Panthée emmenée en captivité (?)";"France ; La Hyre, Laurent de";"1600 / 1700  (XVIIe siècle)";"RF 1949 15; D 1950-2-2";"Département des Peintures";;"Tours (France), Musée des Beaux-Arts, salle d'exposition";
cl010052740;"Bergère couronnée";"France ; Lancret, Nicolas";"vers 1743";"INV 5601; B 1603; D 1956-13-4";"Département des Peintures";;"Tours (France), Musée des Beaux-Arts, salle d'exposition";
cl010052741;"Vénus et Anchise";"Guérin, Paulin ; France";1822;"INV 5191; L 3849; N.mba 6178";"Département des Peintures";;"Nice (France), Musée des Beaux-Arts - Jules Chéret, salle d'exposition";
cl010052746;"Le Mariage de la Vierge";"France ; Van Loo, Charles-André";1730;"INV 6271; MR 2563; N.Mba 2336";"Département des Peintures";;"Nice (France), Musée des Beaux-Arts - Jules Chéret, salle d'exposition";
cl010052747;"Nature morte aux fruits, volaille, gerbe de blé, rafraîchissoir";"Smetz, Jacques ; Pays-Bas du Sud";1736;"RF 1957 16";"Département des Peintures";;"Auch (France), Musée des Amériques, salle d'exposition";
cl010052748;"Nature morte à la grenade";"Smetz, Jacques ; Pays-Bas du Sud";1736;"RF 1957 17";"Département des Peintures";;"Auch (France), Musée des Amériques, salle d'exposition";
cl010052751;"Portrait d'acteur en costume de berger";"Anonyme ; France ; Coypel, Charles-Antoine";"1700 / 1800  (XVIIIe siècle)";"MI 1433";"Département des Peintures";;"non exposé";
cl010052755;"Andromaque évanouie dans les bras de ses femmes à la vue d'Hector traîné au char d'Achille";"Palmerini, Jean Baptiste ; France";"1800 / 1900  (XIXe siècle)";"INV 7083; L 3515";"Département des Peintures";;"Castelsarrasin (France), Mairie, salle d'exposition";
cl010052756;"Vaisselle sur une table";"Anonyme ; France";"1700 / 1800  (XVIIIe siècle)";"RF 13; 975.1616";"Département des Peintures";;"non exposé";
cl010052757;"Saint Vincent de Saragosse et saint Germain recevant les couronnes du martyre";"Vien, Joseph-Marie ; France";1755;"INV 8417; MR 2673";"Département des Peintures";;"non exposé";
cl010052758;"La Charité Romaine";"Italie ; Reni, Guido";"1600 / 1700  (XVIIe siècle)";"INV 8708; MR 1582; 205";"Département des Peintures";;"non exposé";
cl010052759;L'Assomption;"France ; Lestang-Parade, Léon de";1843;"INV 6217; LP 5505; 208";"Département des Peintures";;"Mirande (France), Église Sainte-Marie";
cl010052760;"Portrait de Louis XV en buste";"France ; Van Loo, Charles-André";"1700 / 1800  (XVIIIe siècle)";"INV 6288; B 2123; 172";"Département des Peintures";;"Mirande (France), Musée des Beaux-Arts, salle d'exposition";
cl010052761;"Famille de paysans dans un intérieur";"Gamelin, Jacques ; France";1779;"RF 1960 7; D.60.1.1";"Département des Peintures";;"non exposé";
cl010052762;"Étude de dos pour Le Radeau de la Méduse";"France ; Géricault, Théodore";1819;"RF 580";"Département des Peintures";;"non exposé";
cl010052765;"Jésus donnant les clefs à saint Pierre";"Ingres, Jean-Auguste-Dominique ; France";"1818 / 1842  (2e quart du XIXe siècle)";"RF 97";"Département des Peintures";;"Montauban (France), Musée Ingres-Bourdelle, salle d'exposition";
cl010052768;"Les Adieux du consul Boëtus à sa famille";"Schnetz, Jean Victor ; France";1827;"INV 7883; C 221 bis; RF 439";"Département des Peintures";;"Toulouse (France), Musée des Augustins, salle d'exposition";
cl010052773;"Portrait de femme en buste";"Anonyme ; France ; Valade, Jean";"1700 / 1800  (XVIIIe siècle)";"INV 9961; LP 1717";"Département des Peintures";;"non exposé";
cl010052774;"Procession sortant de la cathédrale de Saint-Étienne de Toulouse avec ostention des reliquaires";"Michel, Jean II ; France";"1675 / 1725  (Fin du XVIIe siècle - début du XVIIIè siècle)";"RF 1955 3";"Département des Peintures";;"non exposé";
cl010052775;"François Ier tuant un sanglier à Fontainebleau";"Menjaud, Alexandre ; France";1827;"INV 6605; C 176";"Département des Peintures";;"Chambord (France), Domaine national de Chambord";
cl010052776;"Jésus Christ apaisant la tempête";"Jugelet, Auguste ; France";1845;"INV 5510; LP 6337";"Département des Peintures";;"Tarbes (France), Musée Massey";
cl010052777;"Hussards au combat (Combat de cavalerie)";"Le Paon, Jean-Baptiste ; France";"1700 / 1800  (XVIIIe siècle)";"RF 1959 26; D.60.8.1";"Département des Peintures";;"Tarbes (France), Musée Massey";
cl010052778;"Hussards au combat";"Le Paon, Jean-Baptiste ; France";"1700 / 1800  (XVIIIe siècle)";"RF 1959 27";"Département des Peintures";;"Tarbes (France), Musée Massey";
cl010052779;"Portrait de Louis XV";"France ; La Tour, Maurice-Quentin de";"1700 / 1800  (XVIIIe siècle)";"INV 9374; B 2138";"Département des Peintures";;"Tarbes (France), Musée Massey";
cl010052781;"La Charette";"Troy, Jean-François de ; France";"1700 / 1800  (XVIIIe siècle)";"MI 1133";"Département des Peintures";;"Paris (France), Ministère des Affaires étrangères, salle d'exposition";
cl010052782;"La Croix du carrefour";"Troy, Jean-François de ; France";"1700 / 1800  (XVIIIe siècle)";"MI 1134";"Département des Peintures";;"Paris (France), Ministère des Affaires étrangères, salle d'exposition";
cl010052784;"Portrait d'un adolescent";"Angleterre ; Romney, George";"1750 / 1775  (3e quart du XVIIIe siècle)";"MI 1304; 872 5 15; D.872.5.15";"Département des Peintures";;"non exposé";
cl010052785;"Dolbadarn castle et Llamberis lake ou Dolbadarn castle et Llyn Peris";"Angleterre ; Wilson, Richard";"1700 / 1800  (XVIIIe siècle)";"RF 913";"Département des Peintures";;"Paris (France), Ministère des Affaires étrangères, salle d'exposition";
cl010052787;"Étude de vieillard";"Anonyme ; Angleterre";;"MI 1443";"Département des Peintures";;"Cambrai (France), Musée municipal des beaux-arts";
cl010052795;"Solon, législateur d'Athènes";"Blondel, Merry-Joseph ; France";1827;"INV 2642; C 215";"Département des Peintures";;"Amiens (France), Musée de Picardie, salle d'exposition";
cl010052797;"Paysage historique. La Reine Andouère précipitée dans un torrent par ordre de Frédégonde";"Boguet, Didier ; France";"1800 / 1900  (XIXe siècle)";"INV 2676; L 3653";"Département des Peintures";;"non exposé";
cl010052799;"Napoléon Ier accorde à la princesse d'Hatzfeld la grâce de son mari";"Boisfremont, Charles Boulanger de ; France";1810;"INV 2684; MR 1208";"Département des Peintures";;"Amiens (France), Musée de Picardie, salle d'exposition";
cl010052808;"La Mort de Malvina";"Franquelin, Jean-Augustin ; France";"1800 / 1900  (XIXe siècle)";"INV 4634; L 3727";"Département des Peintures";;"Amiens (France), Musée de Picardie";
cl010052815;Prométhée;"Mauzaisse, Jean Baptiste ; France";"1800 / 1900  (XIXe siècle)";"INV 6554; L 3643";"Département des Peintures";;"Amiens (France), Musée de Picardie";
cl010052817;"Le Berger Phorbas présente Oedipe enfant à la reine de Corinthe";"Meynier, Charles ; France";"1800 / 1900  (XIXe siècle)";"INV 6618; L 3480";"Département des Peintures";;"Amiens (France), Musée de Picardie";
cl010052818;"Alphée et Aréthuse";"Lancrenon, Joseph Ferdinand ; France";1830;"INV 5593; LP 42";"Département des Peintures";;"Amiens (France), Musée de Picardie";
cl010052819;"Chasse aux léopards ou Chasse au tigre";"Lancret, Nicolas ; France";1736;"INV 5596; MR 1898";"Département des Peintures";;"Amiens (France), Musée de Picardie, salle d'exposition";
cl010052820;"Diane et Endymion";"Langlois, Jérôme Martin ; France";"1800 / 1900  (XIXe siècle)";"INV 5640; L 3784";"Département des Peintures";;"Amiens (France), Musée de Picardie";
cl010052831;"Henri IV rencontre Sully blessé à la suite de la bataille d'Ivry, d'après Les Mémoires de Sully";"France ; Vincent, François-André";1875;"INV 8456; MR 2685";"Département des Peintures";;"Amiens (France), Musée de Picardie";
cl010052833;"La Chasse au lion";"Troy, Jean-François de ; France";1735;"INV 8229; MR 1527";"Département des Peintures";;"Amiens (France), Musée de Picardie, salle d'exposition";
cl010052834;"Le Sommeil de la Vierge et de l'Enfant Jésus";France;"1700 / 1800  (XVIIIe siècle)";"INV 8230; B 599";"Département des Peintures";;"Amiens (France), Musée de Picardie";
cl010052835;"Le Martyre des sept frères Macchabées";"Anonyme ; France";"1400 / 1500  (XVe siècle)";"RF 1945 24";"Département des Peintures";;"non exposé";
cl010052837;"Le Baptême dit aussi La Circoncision";"Anonyme ; France";"1600 / 1700  (XVIIe siècle)";"RF 1947 7";"Département des Peintures";;"non exposé";
cl010052843;"Saint Philippe baptisant l'eunuque de la reine d'Éthiopie sur le chemin de Jérusalem à Gaza";"Abel de Pujol, Alexandre-Denis ; France";1848;"INV 2192; LP 7456; P.Y. 129";"Département des Peintures";;"Valenciennes (France), Musée des Beaux-Arts, salle d'exposition";
cl010052844;"Athalie chassée du temple";"Coypel, Antoine ; France";"1600 / 1700  (XVIIe siècle)";"INV 3497; B 524";"Département des Peintures";;"Saint-Quentin (France), Musée Antoine Lécuyer, salle d'exposition";
cl010052845;"Suzanne et les vieillards";"Coypel, Antoine ; France";"1600 / 1700  (XVIIe siècle)";"INV 3499; MR 1389";"Département des Peintures";;"Saint-Quentin (France), Musée Antoine Lécuyer, salle d'exposition";
cl010052846;"L'Incrédulité de saint Thomas";"La Fosse, Charles de ; France";"1600 / 1700  (XVIIe siècle)";"INV 4531; MR 1704";"Département des Peintures";;"Saint-Quentin (France), Musée Antoine Lécuyer";
