ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl010213669;"Portrait de Louis XV à mi-corps.";"Van Loo, Jean-Baptiste ; France";"1750 / 1800  (2e moitié du XVIIIe siècle)";"INV 6266; B 2105; R 193; C 32 D 60";"Département des Peintures";;"Chambord (France), Domaine national de Chambord";
cl010213670;"Portrait du maréchal de Belle-Isle";"France ; Nivelon, Anne Baptiste";"1700 / 1800  (XVIIIe siècle)";"INV 6947; C 32 D 87; B 2163";"Département des Peintures";;"Chambord (France), Domaine national de Chambord";
cl010213671;"Portrait en buste de Louis XV jeune";"Van Loo, Jean-Baptiste ; France";;"INV 20963; C 32 D 22; R 134";"Département des Peintures";;"Chambord (France), Domaine national de Chambord";
cl010213684;"Funérailles juives";"Magnasco, Alessandro ; Italie";"1735 / 1740  (2e quart du XVIIIe siècle)";"RF 2010 20; D 2010 03 001";"Département des Peintures";;"Paris (France), Musée d'Art et d'Histoire du Judaïsme";
cl010214322;"Vue du mont Saint-Michel, côtes de Normandie";"Adelus, Jean-Baptiste ; France";1842;"INV 2208; LP 5185; RF 1107";"Département des Peintures";;"non exposé";
cl010214782;"Danse de l'aigle et vue du village de Ioway dans le Haut Missouri";"Catlin, George ; Amérique";1846;"LP 6680";"Département des Peintures";;"Paris (France), Musée du Quai Branly - Jacques-Chirac";
cl010214784;"Mah-To-Toh-Pa (Les quatre ours), chef des Mandan, Haut Missouri";"Catlin, George ; Amérique";1846;"LP 6682";"Département des Peintures";;"Paris (France), Musée du Quai Branly - Jacques-Chirac";
cl010214786;"Wa-ta-we-huch-a-nah (Le général commandant), Ioway";"Catlin, George ; Amérique";1846;"LP 6684";"Département des Peintures";;"Paris (France), Musée du Quai Branly - Jacques-Chirac";
cl010214787;Wan-ee-ton;"Catlin, George ; Amérique";1846;"LP 6685";"Département des Peintures";;"Paris (France), Musée du Quai Branly - Jacques-Chirac";
cl010214788;"Ah-wun-ne-wa-he (L'oiseau de tonerre)";"Catlin, George ; Amérique";1846;"LP 6686";"Département des Peintures";;"Paris (France), Musée du Quai Branly - Jacques-Chirac";
cl010214792;"Mah-to-he-ha (Le vieux ours)";"Catlin, George ; Amérique";1846;"LP 6689";"Département des Peintures";;"Paris (France), Musée du Quai Branly - Jacques-Chirac";
cl010214793;"Mu-hu-she-kaw (Le nuage blanc)";"Catlin, George ; Amérique";1846;"LP 6690";"Département des Peintures";;"Paris (France), Musée du Quai Branly - Jacques-Chirac";
cl010214794;"Say-say-gon (L'oracle de grêle)";"Catlin, George ; Amérique";1846;"LP 6691";"Département des Peintures";;"Paris (France), Musée du Quai Branly - Jacques-Chirac";
cl010214921;"Vue d'Avignon, depuis la rive droite du Rhône, près de Villeneuve.";"Vernet, Claude-Joseph ; France";1757;"RF 2015 1";"Département des Peintures";;"Sully, [Peint] Salle 930 - Hubert Robert (1733-1808), le Paysage entre France et Italie (ex-salle 49)";
cl010215043;"Saint Sébastien";Italie;"1475 / 1525  (Fin du XVe siècle - début du XVIe siècle)";"Campana 299";"Département des Peintures";;"Strasbourg (France), Musée des Beaux-Arts";
cl010215170;"La Vierge, l'Enfant et Saint François";Italie;"1500 / 1550  (1e moitié du XVIe siècle)";"Campana 462";"Département des Peintures";;"Strasbourg (France), Musée des Beaux-Arts";
cl010215172;Pietà;"Anonyme ; Italie";;"Campana 474";"Département des Peintures";;"Ajaccio (France), Musée-Palais Fesch";
cl010215173;"Portrait d'un moine franciscain";Italie;"1500 / 1600  (XVIe siècle)";"Campana 512";"Département des Peintures";;"Strasbourg (France), Musée des Beaux-Arts";
cl010215183;"Le Sauveur";Italie;"1650 / 1725  (Fin du XVIIe siècle - début du XVIIIè siècle)";"Campana 575";"Département des Peintures";;"Strasbourg (France), Musée des Beaux-Arts";
cl010215185;"Effets de neige";"Foschi, Francesco ; Italie";"1740 / 1760  (Milieu du XVIIIe siècle)";"Campana 622";"Département des Peintures";;"Ajaccio (France), Musée-Palais Fesch";
cl010215186;"Fête villageoise";France;"1600 / 1700  (XVIIe siècle)";"Campana 634";"Département des Peintures";;"Tarbes (France), Musée Massey";
cl010215192;Paysage;Italie;"1600 / 1700  (XVIIe siècle)";"Campana 642";"Département des Peintures";;"Strasbourg (France), Musée des Beaux-Arts";
cl010215254;"L'Annonciation, La Visitation et la Crèche";"Scupola, Giovanni Maria ; Italie";"1500 / 1540  (Début du XVIe siècle)";"Campana 9";"Département des Peintures";;"Rouen (France), Musée départemental des Antiquités";
cl010216726;"Effets de neige";"Foschi, Francesco ; Italie";"1740 / 1760  (Milieu du XVIIIe siècle)";"Campana 623";"Département des Peintures";;"Ajaccio (France), Musée-Palais Fesch";
cl010235027;"Le prince et la princesse de Joinville quittent Rio de Janeiro, 1er mai 1843";"Garneray, Ambroise Louis ; France";"1844 / 1870  (2e tiers du XIXe siècle)";"INV 4671; LP 6034; MV 5437";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010235053;"Louis-Philippe assiste à une danse d'Indiens Iowa dans le salon de la Paix aux Tuileries, 21 avril 1845";"Girardet, Karl ; France";1845;"INV 4928; LP 6646; MV 6138";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, salle d'exposition";
cl010235054;"Jacques Cathelineau (1759-1793) généralissime vendéen";"Girodet de Roucy-Trioson, Anne-Louis ; France";1816;"INV 4965; L 3916; MV 5258";"Département des Peintures";;"Cholet (France), Musée d'Art et d'Histoire, salle d'exposition";
cl010235100;"Alexandre Boucher (1778-1861), premier violon de la chambre du roi d'Espagne";"Girodet de Roucy-Trioson, Anne-Louis ; France";1819;"MI 682; MV 6431";"Département des Peintures";;"non exposé";
cl010235104;"Le Roi donnant aux Arts le musée Charles X";"Gros, Antoine-Jean Baron ; France";1827;"INV 5061; C 386; MV 5430; C 182";"Département des Peintures";;"non exposé";
cl010235107;"André Galle (1761-1844), médailleur";"Gros, Antoine-Jean Baron ; France";1822;"RF 770; MV 5598";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, salle d'exposition";
cl010235110;"Portrait de l'artiste";"Granet, François Marius ; France";"avant 1849";"INV 5014; MV 6521; MN 78";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, salle d'exposition";
cl010235112;"La République Française";"Gros, Antoine-Jean Baron ; France";"1794 / 1795  (Fin du XVIIIe siècle)";"INV 5071; MV 5498; LP 4869";"Département des Peintures";;"non exposé";
cl010235114;"Louis XVIII, roi de France (1755-1824)";"Gros, Antoine-Jean Baron ; France";1816;"INV 5078; L 3530; MV 6325";"Département des Peintures";;"non exposé";
cl010235115;"Marie-Thérèse-Charlotte de France, duchesse d'Angoulême (1778-1851)";"France ; Gros, Antoine-Jean Baron";1816;"INV 5079; C 406; MV 6372";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010235141;"Charles-Melchior-Artus marquis de Bonchamps (1760-1793), général vendéen";"Girodet de Roucy-Trioson, Anne-Louis ; France";1816;"INV 4964; L 3915; MV 7670";"Département des Peintures";;"Cholet (France), Musée d'Art et d'Histoire, salle d'exposition";
cl010235142;"Charles Amédée Philippe Van Loo (1719-1795), peintre";"Labille-Guiard, Adélaïde ; France";1785;"INV 5245; MR 1797; MV 5874";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010235143;"Les Vendanges";"Hallé, Noël ; France";1776;"INV 5271; MR 1807; MV 6193";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, Grand Trianon";
cl010235144;"Allégorie de la régence d'Anne d'Autriche";"La Hyre, Laurent de ; France";1648;"INV 5360; LP 4098; MV 7142";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, salle d'exposition";
cl010235146;"Sainte Madeleine";"Reni, Guido ; Italie Émilie-Romagne Bologne";"1600 / 1642  (1e moitié du XVIIe siècle)";"INV 529; MR 282; MV 7801";"Département des Peintures";;"non exposé";
cl010235162;"Mercure et Argus";"Houasse, René-Antoine ; France";"1688 / 1689  (4e quart du XVIIe siècle)";"INV 5385; MR 1824; MV 8260";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010235169;"Morphée s'éveillant à l'approche d'Iris";"Houasse, René-Antoine ; France";"1688 / 1689  (3e quart du XIXe siècle)";"INV 5386; MV 8126; MR 1825";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010235182;"Paysage avec un portique";"Houasse, René-Antoine ; France";"1675 / 1676  (3e tiers du XVIIe siècle)";"INV 5388; MV 8357; MR 1588";"Département des Peintures";;"non exposé";
cl010235188;"Paysage avec un portique";"Houasse, René-Antoine ; France";"1675 / 1676  (3e tiers du XVIIe siècle)";"INV 5389; MV 8358; MR 1589";"Département des Peintures";;"non exposé";
cl010236328;"Clytie changée en tournesol";"Jollain, Nicolas René ; France";1768;"INV 5463; B 666; MV 7799";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, Grand Trianon";
cl010236329;"Apollon pleurant Hyacinthe ou Hyacinthe changé en fleur";"Jollain, Nicolas René ; France";1768;"INV 5464; B 667; MV 8342";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236330;"Jean-Baptiste-Jules Bernadotte, prince de Ponte Corvo, devenu Charles-Jean XIV roi de Suède (1763-1844)";"Jouy, Joseph ; France ; Kinson, François Joseph";"1800 / 1900  (XIXe siècle)";"INV 5525; MV 1130";"Département des Peintures";;"non exposé";
cl010236331;"La Moisson, ou Cérès et Triptolème";"Lagrenée, Louis Jean-François ; France";1769;"INV 5553; MR 1896; MV 7416";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, Grand Trianon";
cl010236332;"Henri et Charles Beaubrun faisant le portrait de la reine Marie-Thérèse";"Lambert, Martin ; France";1675;"INV 5577; MV 5885; B 700";"Département des Peintures";;"non exposé";
cl010236344;"Portrait du sculpteur Nicolas Coustou (ou Noël Jouvenet?)";"Largillière, Nicolas de ; France";"1700 / 1750  (1e moitié du XVIIIe siècle)";"INV 5667; LP 4646; MV 4421";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, salle d'exposition";
cl010236345;"Louis-Philippe, duc d'Orléans, lieutenant général du royaume, arrive à l'Hôtel de ville de Paris, 31 juillet 1830.";"Féron, Éloi Firmin ; Larivière, Charles Philippe Auguste de ; France";1837;"INV 5713; LP 2768; MV 5796";"Département des Peintures";;"non exposé";
cl010236367;"Claude-Guy Hallé (1651-1736) peintre";"Legros, Jean ; France";1725;"INV 6163; MV 3679; MR 1975";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, salle d'exposition";
cl010236369;"Nicolas Coustou, scupteur";"Legros, Jean ; France";1725;"INV 6163 bis; B 740; MV 5935";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, salle d'exposition";
cl010236372;"Jacques Sarrazin (1592-1660), sculpteur";"Lemaire, François ; France";1657;"INV 6176; MV4198; MR 1976";"Département des Peintures";;"non exposé";
cl010236376;"Surprise du pont de Tabour sur le Danube, 14 novembre 1805";"Guillon-Lethière, Guillaume ; France";"vers 1806";"INV 6232; MR 2067; MV 8147";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, salle d'exposition";
cl010236403;"Louis XV, roi de France (1710-1774)";"Van Loo, Jean-Baptiste ; France";"1700 / 1750  (1e moitié du XVIIIe siècle)";"INV 6257; MV 6942; B 2091";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, salle d'exposition";
cl010236404;"Psyché et l'Amour dans un char";"France ; Van Loo, Charles-Amédée";1744;"INV 6273; MR 2565; MV 8284";"Département des Peintures";;"non exposé";
cl010236406;"L'Amour quittant Psyché";"Van Loo, Jean-Baptiste ; France";1744;"INV 6274; MR 2564; MV 8283";"Département des Peintures";;"non exposé";
cl010236407;"Louis XV, roi de France (1710-1744)";"Van Loo, Charles-André ; France";"vers 1751";"INV 6280; MR 1643; MV 3751";"Département des Peintures";;"non exposé";
cl010236411;"Portrait d'un artiste portant l'ordre de Saint Michel";"Van Loo, Charles-André ; France";"1700 / 1800  (XVIIIe siècle)";"INV 6282; MV 4484; LP 1740";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236415;"Louis Michel Van Loo peignant le portrait de son père Jean Baptiste";"Van Loo, Louis-Michel ; France";"1700 / 1800  (XVIIIe siècle)";"INV 6311; MV 5827; MR 2581";"Département des Peintures";;"non exposé";
cl010236421;"Louis XV, roi de France (1710-1774)";"Van Loo, Louis-Michel ; France";"après 1761";"INV 6337; B 2130; MV 6686";"Département des Peintures";;"non exposé";
cl010236422;"Etienne François, duc de Choiseul Stainville (1719-1785), ministre";"Van Loo, Louis-Michel ; France";"1700 / 1800  (XVIIIe siècle)";"INV 6364; B 1824; MV 6688";"Département des Peintures";;"non exposé";
cl010236424;"César-Gabriel de Choiseul-Chevigny, duc de Praslin (1712-1785), ministre";"Roslin, Alexandre ; Suède";"après 1763";"INV 6358; MV 6687; 1238 (musée des Colonies); B 2181";"Département des Peintures";;"non exposé";
cl010236483;"Antoine Paillet (1626-1701), peintre";"La Mare-Richart, Florent de ; France";1677;"INV 6432 bis; MV 5823; B 2213";"Département des Peintures";;"non exposé";
cl010236485;"Vénus ordonne à Vulcain de faire des armes pour Enée";"Bertin, Nicolas ; France";"vers 1704";"INV 3523; MR 1393; MV 8322";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236490;"Latone et les paysans";"Marot, François ; France";"vers 1706";"INV 6446; B 615; MV 8219";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236497;"Prise de Fribourg en Brisgau par le maréchal de Créquy, 1677";"Van der Meulen, Adam Frans ; Martin, Jean-Baptiste ; France ; Le Conte, Sauveur";"vers 1688";"INV 6458; MV 5849; MR 2087";"Département des Peintures";;"non exposé";
cl010236521;"La France présente la couronne à Louis-Philippe";"Mauzaisse, Jean Baptiste ; France";1830;"INV 6560 bis; MV 5431";"Département des Peintures";;"non exposé";
cl010236522;"La famille du Grand Dauphin, Louis de France (1687)";"Mignard, Pierre ; France";1687;"INV 6650; MR 2152; MV 8135";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, salle d'exposition";
cl010236524;"Apothéose d'Hercule";"Le Moyne, François ; France";"vers 1732";"INV 6713; MV 6277; MR 1983";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, salle d'exposition";
cl010236528;"Borée et Orithye";"Monnet, Charles ; France";"vers 1770";"INV 6728; MV 6177; MR 2181";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, Grand Trianon";
cl010236529;"Zéphyr et Flore";"Monnet, Charles ; France";"vers 1770";"INV 6729; MV 6176; B 838";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, Grand Trianon";
cl010236586;"Jardinière de fleurs et instruments de musique dans une architecture";"Monnoyer, Jean Baptiste ; France";"1600 / 1700  (XVIIe siècle)";"INV 6751; MV 7262; V 2458; B 1413";"Département des Peintures";;"non exposé";
cl010236587;"Louis Jean François Lagrenée l'aîné (1724-1805), peintre";"Mosnier, Jean Laurent ; France";1788;"INV 6810; MV 5819; MR 2193";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236621;"L'appel des dernières victimes de la Terreur dans la prison Saint Lazare";"Müller, Charles-Louis ; France";"vers 1850";"INV 6826; MN 72; MV 6327; MRF D19926-2";"Département des Peintures";;"Vizille (France), Musée de la Révolution française";
cl010236641;"Jean Nocret (1617-1672), peintre, père de l'artiste";"Nocret, Jean-Charles ; France";1674;"INV 6987; MV 3467; MR 2226";"Département des Peintures";;"non exposé";
cl010236643;"Sébastien II Le Clerc (1676-1763), peintre";"Nonnotte, Donat ; France";1741;"INV 6989; B 888; MV 5869";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236652;"Le loup et l'agneau";"Oudry, Jean-Baptiste ; France";1747;"INV 7037; MV 6134; MR 2236";"Département des Peintures";;"non exposé";
cl010236653;"Le cerf se mirant dans l'eau";"Oudry, Jean-Baptiste ; France";1747;"INV 7038; MR 2239; MV 5482";"Département des Peintures";;"non exposé";
cl010236654;"Les deux chèvres";"Oudry, Jean-Baptiste ; France";1747;"INV 7039; MV 6135; MR 2238";"Département des Peintures";;"non exposé";
cl010236655;"Le renard et la cigogne";"Oudry, Jean-Baptiste ; France";1747;"INV 7040; B 908; MV 6213";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236656;"Les deux chiens et l'âne mort";"Oudry, Jean-Baptiste ; France";1747;"INV 7041; LP 3564; MV 6212";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236657;"La lice et sa compagne";"Oudry, Jean-Baptiste ; France";1747;"INV 7042; MR 2237; MV 5483";"Département des Peintures";;"non exposé";
cl010236662;"Vase d'or couvert entouré de ceps de vigne, feuilles et raisins";"Blin de Fontenay, Jean-Baptiste ; France";"1650 / 1700  (2e moitié du XVIIe siècle)";"INV 2191 bis; B 351; MV 8292";"Département des Peintures";;"non exposé";
cl010236665;"Vase d'or rempli et entouré de fleurs";"Blin de Fontenay, Jean-Baptiste ; France";"1650 / 1715  (Fin du XVIIe siècle - début du XVIIIè siècle)";"INV 8926; B 1427; MV 8291";"Département des Peintures";;"non exposé";
cl010236681;"Apollon et Mercure";"Coypel, Noël ; France";"vers 1688";"INV 3458; MR 1386; MV 6113";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236682;"Apollon vainqueur du serpent Python";"Coypel, Noël ; France";"avant 1704";"INV 3459; MR 2147; MV 6112";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236683;"Déjanire envoyant la chemise empoisonnée de Nessus à Hercule";"Coypel, Noël ; France";"vers 1704";"INV 3462 bis; MR 2173; MV 8261; INV 8686";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236684;"Combat d'Hercule et Acheloüs";"Coypel, Noël ; France";"vers 1688";"INV 3463; MR 1365; MV 8262";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236686;"Enlèvement de Déjanire par le centaure Nessus";"Coypel, Noël ; France";"vers 1688";"INV 3464; MR 1364; MV 8263";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236721;"Uranie et Melpomène";"Boullogne, Louis II de, dit Le Jeune ; France";"vers 1680";"INV 2776; MV 8264; MR 1240";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236722;"Vénus, l'hymen et les amours";"Boullogne, Louis II de, dit Le Jeune ; France";"vers 1688";"INV 2785; B 450; MV 8274";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236728;"Apollon et Hyacinthe";"Boullogne, Louis II de, dit Le Jeune ; France";"vers 1701";"INV 2787; B 445; MV 6136";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236761;"Vertumne et Pomone";"Bertin, Nicolas ; France";1706;"INV 2538; MR 1192; MV 8273";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236762;"Le jugement de Midas";"Corneille, Michel II ; France";1706;"INV 3341; MV 8300; MR 1351";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236763;"Zéphyr et Flore";"Coypel, Antoine ; France";1702;"INV 3508; B 526; MV 8308";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236764;"Jupiter et Mercure chez Philémon et Baucis";"Collin de Vermont, Hyacinthe ; France";"vers 1750";"INV 7446; MR 2376; MV 8296";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, salle d'exposition";
cl010236765;"Bacchus change en feuillages de vigne les ouvrages des Ménéides";"Collin de Vermont, Hyacinthe ; France";1750;"INV 7447; MR 2375; MV 8298";"Département des Peintures";;"non exposé";
cl010236766;"Le Rajeunissement d'Iolas par Hébé";"Collin de Vermont, Hyacinthe ; France";1750;"INV 7449; MR 2373; MV 8295";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, salle d'exposition";
cl010236767;"Le Berger Apulas transformé en olivier";"Collin de Vermont, Hyacinthe ; France";1750;"INV 7450; MR 2374; MV 8297";"Département des Peintures";;"non exposé";
cl010236805;"Vénus et Adonis";"Belle, Clément ; France";1772;"INV 2492; B 405; MV 6192";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, Grand Trianon";
cl010236809;"Vertumne et Pomone";"Belle, Clément ; France";1772;"INV 2493; B 403; MV 6191";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, Grand Trianon";
cl010236811;"Menthe métamorphosée en plante";"Caresme, Philippe ; France";1772;"INV 3148; B 435; MV 6250";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, Grand Trianon";
cl010236818;"Paysage avec moutons, des chèvres et un pâtre debout appuyé sur un bâton parlant à un homme assis à terre vu de dos";"Domenchin de Chavanne, Pierre-Salomon ; France";1732;"INV 3235; B 1565; MV 8294";"Département des Peintures";;"non exposé";
cl010236821;"La Pêche, ou Neptune et Amphitrite";"Doyen, Gabriel François ; France";1768;"INV 4093; MR 1531; MV 6189";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, Grand Trianon";
cl010236823;"Vase d'or orné d'une guirlande de fleurs, sur un socle de porphyre";"Blin de Fontenay, Jean-Baptiste ; France";"1750 / 1775  (3e quart du XVIIIe siècle)";"INV 4476; MV 8282; MR 1688";"Département des Peintures";;"non exposé";
cl010236833;"Cyané changée en fontaine par Pluton";"Houasse, René-Antoine ; France";"1688 / 1689  (4e quart du XVIIe siècle)";"INV 4639; MV 8270; MR 1553";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236836;L'Assomption;"Verdier, François ; France";"vers 1668";"INV 8275; MV 8271; MR 2602";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236842;"Borée enlevant Orithie";"Verdier, François ; France";"vers 1688";"INV 8277; MR 2603; MV 5923";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236843;"Junon venant consoler Thétis des infidélités de Jupiter";"Verdier, François ; France";"vers 1688";"INV 8278; B 1019; MV 8272";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236849;"Junon en colère menace Io";"Verdier, François ; France";"vers 1688";"INV 8280; MV 8302; MR 2605";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236850;"Mercure endort Argus";"Verdier, François ; France";"vers 1688";"INV 8282; MR 2604; MV 8266";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236855;"Mercure s'envole après avoir coupé la tête d'Argus, Junon attachant les yeux d'Argus à la queue de son paon";"Verdier, François ; France";"vers 1688";"INV 8283; MR 1511; MV 8267";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236858;"Io adorée sous le nom d'Isis par les Phrygiens";"Verdier, François ; France";1688;"INV 8284; MV 8268; MR 2599";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236860;"Vénus et Adonis";"Verdier, François ; France";"vers 1695";"INV 8289; MR 1572; MV 8269";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236862;"La chasse";"Vien, Joseph-Marie ; France";1772;"INV 8420; MV 7415; MR 2680";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, Grand Trianon";
cl010236876;"La Conversion de saint Augustin";"Coypel, Charles-Antoine ; France";1736;"INV 8571; B 1160; MV 8289";"Département des Peintures";;"non exposé";
cl010236880;"Mars au repos";France;"vers 1700";"INV 8647; MV 8277; MR 1350";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236882;Minerve;France;"vers 1700";"INV 8653; MR 1822; MV 8278";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236888;"L'enlèvement d'Europe (ou Jupiter transformé en taureau)";"Boullogne, Louis II de, dit Le Jeune ; France";"vers 1688";"INV 8627; MV 8301; B 1369";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236893;"Zéphyr et Flore";"Jouvenet, Jean ; France";"vers 1688";"INV 20909; MV 8303";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010236897;"Alphée et Aréthuse";"Houasse, René-Antoine ; France";"1688 / 1689  (4e quart du XVIIe siècle)";"INV 20908; MV 8309; B 722";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
