ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl010061021;"Paysage avec pâtre et troupeau";"Gellée, Claude ; France";"1630 / 1635  (2e quart du XVIIe siècle)";"INV 4722; MR 1746";"Département des Peintures";;"Richelieu, [Peint] Salle 827 - Claude Gellée, dit le Lorrain (1600-1682) et le paysage classique";
cl010061022;"Marine. Soleil couchant";"Gellée, Claude ; France";"1630 / 1635  (2e quart du XVIIe siècle)";"INV 4721; MR 1745";"Département des Peintures";;"Richelieu, [Peint] Salle 827 - Claude Gellée, dit le Lorrain (1600-1682) et le paysage classique";
cl010061023;"Port de mer au soleil couchant";"Gellée, Claude ; France";1639;"INV 4715; MR 1740";"Département des Peintures";;"Richelieu, [Peint] Salle 827 - Claude Gellée, dit le Lorrain (1600-1682) et le paysage classique";
cl010061024;"Ulysse remet Chryséis à son père";"Gellée, Claude ; France";"vers 1644";"INV 4718; MR 1747";"Département des Peintures";;"Richelieu, [Peint] Salle 826 - Nicolas Poussin (1594-1665) : entre Rome et Paris";
cl010061025;"Paysage avec Pâris et Oenone";"Gellée, Claude ; France";1648;"INV 4724; MR 1744";"Département des Peintures";;"non exposé";
cl010061026;"Paysage au soleil couchant";"Gellée, Claude ; France";"vers 1642";"INV 4723; MR 1743";"Département des Peintures";;"non exposé";
cl010061027;"Port de mer, effet de brume (L'embarquement d'Ulysse ?)";"Gellée, Claude ; France";1646;"INV 4719; MR 1748";"Département des Peintures";;"Richelieu, [Peint] Salle 827 - Claude Gellée, dit le Lorrain (1600-1682) et le paysage classique";
cl010061028;"Jacob venant trouver les filles de Laban.";"Gauffier, Louis ; France";1787;"INV 4693; MR 1728";"Département des Peintures";;"Sully, [Peint] Salle 935 - Jacques-Louis David (1745-1825) et ses élèves, l’art du portrait";
cl010061029;"Louis XVI (1754-1793), roi de France.Portrait en pied, en costume royal.";"Duplessis, Joseph Siffred ; France";"après 1777";"INV 3118; B 486";"Département des Peintures";;"non exposé";
cl010061030;"Les Beaux-Arts témoignant leur reconnaissance au Génie protecteur qui les couronne";"Fragonard, Alexandre-Évariste ; France";"1800 / 1825  (1e quart du XIXe siècle)";"INV 4553; C 198";"Département des Peintures";;"non exposé";
cl010061034;"Dames de Malte se faisant visite.";"Favray, Chevalier Antoine de ; France";1762;"INV 4376; MR 1679";"Département des Peintures";;"Sully, [Peint] Salle 921 - Peinture de genre";
cl010061035;"Saint Jean prêchant.";"Favanne, Henri de ; France";1736;"INV 8135; MR 2518";"Département des Peintures";;"Paris (France), Hôtel de la Marine";
cl010061037;"L'Été ou Cérès et ses compagnes implorant le soleil.";"Durameau, Louis-Jacques ; France";1774;"INV 4326";"Département des Peintures";;"Denon, [OArt] Salle 705 - Galerie d'Apollon";
cl010061038;"Louis XVI (1754-1793), roi de France. Portrait en pied, en costume royal.";"Duplessis, Joseph Siffred ; France";"après 1776";"INV 3117; B 479";"Département des Peintures";;"non exposé";
cl010061039;"Portrait en pied de Charles X";"Gérard, François ; France";"1800 / 1825  (1e quart du XIXe siècle)";"INV 4877; C 400";"Département des Peintures";;"non exposé";
cl010061040;"Portrait en pied de Charles X";"Gérard, François ; France";"1800 / 1825  (1e quart du XIXe siècle)";"INV 4875; C 404";"Département des Peintures";;"non exposé";
cl010061041;"David sacré roi par Samuel";"Gellée, Claude ; France";1647;"INV 4717; MR 1737";"Département des Peintures";;"Richelieu, [Peint] Salle 827 - Claude Gellée, dit le Lorrain (1600-1682) et le paysage classique";
cl010061042;"La Paix, la Justice, la Force, la Loi";"Gassies, Jean Bruno ; France";"1825 / 1850  (2e quart du XIXe siècle)";"INV 4685; C 203";"Département des Peintures";;"Sully, [OArt] Salle 601 - Histoire du Roi";
cl010061043;"Dessus-de-porte : Diane et Endymion";"Gassies, Jean Bruno ; France";"vers 1815";"INV 8618; INV 20433";"Département des Peintures";;"Richelieu, [OArt] Salle 559 - Louis XVIII";
cl010061044;"Dessus-de-porte : L'Aurore et Céphale";"Gassies, Jean Bruno ; France";"vers 1815";"INV 8619; INV 20432";"Département des Peintures";;"Richelieu, [OArt] Salle 559 - Louis XVIII";
cl010061045;"Hercule obtenant de Diane la biche aux cornes d'or";"Garnier, Étienne Barthélémy ; France";1799;"INV 20310";"Département des Peintures";;"Denon, [AGER] Salle 347 - Salle de Diane";
cl010061047;"Le grand prêtre Corésus se sacrifie pour sauver Callirhoé (Pausanias, VII, 21).";"Fragonard, Jean-Honoré ; France";1765;"INV 4541; MR 1707";"Département des Peintures";;"Sully, [Peint] Salle 929 - Jean-Honoré Fragonard (1732-1806)";
cl010061048;"Scène du massacre de la Saint-Barthélemy (24 août 1572)";"Fragonard, Alexandre-Évariste ; France";1836;"INV 4552; LP 1576";"Département des Peintures";;"Sully, [Peint] Salle 946 - L’idylle et le drame romantique (1820-1835)";
cl010061049;"Les Arts rendant hommage au souverain";"Fragonard, Alexandre-Évariste ; France";"1825 / 1850  (2e quart du XIXe siècle)";"INV 4554; C 183";"Département des Peintures";;"Sully, [AE] Salle 641 - Le Nouvel Empire - Le temps des Ramsès";
cl010061050;"Les Sciences et les Beaux-Arts rendant hommage à leurs dieux protecteurs";"Fragonard, Alexandre-Évariste ; France";"1825 / 1850  (2e quart du XIXe siècle)";"INV 4555; C 191";"Département des Peintures";;"Sully, [AGER] Salle 646 - Figurines en terre cuite grecques - Époques hellénistique et romaine (Myrina)";
cl010061051;"Plafond : François Ier prêtant le serment des chevaliers";"Fragonard, Alexandre-Évariste ; France";"1800 / 1825  (1e quart du XIXe siècle)";"INV 4548; L 3729";"Département des Peintures";;"Sully, [AGER] Salle 654 - Galerie Campana II";
cl010061052;"Plafond : François Ier, accompagné de la reine de Navarre, sa soeur, et entouré de sa cour, reçoit les tableaux et les statues rapportés d'Italie par le Primatice";"Fragonard, Alexandre-Évariste ; France";1827;"INV 4550; C 190";"Département des Peintures";;"Sully, [AGER] Salle 656 - Galerie Campana D";
cl010061053;"Mars et Vénus";"Poussin, Nicolas ; France";"vers 1625";"INV 7293; MR 2343";"Département des Peintures";;"Richelieu, [Peint] Salle 826 - Nicolas Poussin (1594-1665) : entre Rome et Paris";
cl010061054;"Portrait d'un graveur de pierres fines (parfois identifié avec Giovanni Delle Corniole, Michelino di Paolo Poggini ou Domenico di Polo)";"Pontormo (Jacopo Carrucci, dit Il) ; Italie";"1517 / 1518  (1e quart du XVIe siècle)";"INV 233; MR 423";"Département des Peintures";;"Denon, [Peint] Salle 712 - Grande Galerie, Salle 712 - (3e travée)";
cl010061055;"La Décapitation de saint Barthélemy";"Pietro di Giovanni d'Ambrogio ; Italie";"1400 / 1500  (XVe siècle)";"RF 1984 157";"Département des Peintures";;"Denon, [Peint] Salle 709 - Salle des Sept Mètres";
cl010061056;"La Vierge et l'Enfant entourés d'anges et de saintes et surmontés par Dieu le Père bénissant";"Pietro di Giovanni d'Ambrogio ; Italie";"1400 / 1450  (1e moitié du XVe siècle)";"DL 1973 17";"Département des Peintures";;"Denon, [Peint] Salle 709 - Salle des Sept Mètres";
cl010061057;"Fête champêtre.";"De Bar, Bonaventure ; France";1728;"INV 2411; MR 1443";"Département des Peintures";;"non exposé";
cl010061065;"Paysage. Saül poursuivant David";"Decamps, Alexandre-Gabriel ; France";"1815 / 1860  (1e moitié du XIXe siècle)";"RF 77";"Département des Peintures";;"non exposé";
cl010061066;"La Convalescence de Bayard";"Révoil, Pierre ; France";1817;"INV 7473; L 3565";"Département des Peintures";;"Richelieu, [OArt] Salle 560 - Claude Ott";
cl010061067;"La conversion de la Madeleine";"Vaccaro, Andrea ; Italie";"1600 / 1700  (XVIIe siècle)";"INV 550; B 1474";"Département des Peintures";;"non exposé";
cl010061068;"La Vierge avec l'Enfant Jésus jouant avec un oiseau";"Reni, Guido ; Italie";"1600 / 1700  (XVIIe siècle)";"INV 541; B 52";"Département des Peintures";;"non exposé";
cl010061069;"Le Christ remettant les clés à saint Pierre";"Reni, Guido ; Italie";"1620 / 1625  (1e quart du XVIIe siècle)";"INV 526; MR 279";"Département des Peintures";;"Denon, [Peint] Salle 716 - Grande Galerie, Salle 716 - (4e travée)";
cl010061070;"Portrait de Titus (1641-1668), fils de l’artiste";"Rembrandt, Harmensz. van Rijn ; Pays-Bas";"vers 1662";"RF 1948 34";"Département des Peintures";;"Richelieu, [Peint] Salle 844 - Autour de Rembrandt Harmensz van Rijn, dit Rembrandt (1606-1669)";
cl010061071;"Une Grotte, ou L'Arche de pierre";"Robert, Hubert ; France";1783;"INV 7646; MR 2423";"Département des Peintures";;"non exposé";
cl010061072;"Cyrus enfant confié à un berger";"Ricci, Sebastiano ; Italie ; Anonyme";"après 1708";"INV 8695; B 1318";"Département des Peintures";;"non exposé";
cl010061073;"L' École d'Athènes";"Santi, Raffaello, dit Raphaël ; Italie";"1500 / 1600  (XVIe siècle)";"INV 618; MR 1601";"Département des Peintures";;"non exposé";
cl010061074;"La Parabole du bon Samaritain";"Pynas, Jacob ; Pays-Bas";"1610 / 1620  (XVIIe siècle)";"INV 1269; MR 701";"Département des Peintures";;"non exposé";
cl010061075;"Deux chevaux ailés";"Prud'hon, Pierre-Paul ; France";"1796 / 1799  (Fin du XVIIIe siècle)";"RF 1983 22";"Département des Peintures";;"non exposé";
cl010061076;"Le génie de la Raison unit la Nature à la Sagesse";"Prud'hon, Pierre-Paul ; France";"1796 / 1799  (Fin du XVIIIe siècle)";"RF 1983 21";"Département des Peintures";;"non exposé";
cl010061077;"Le Concert";"France Fontainebleau ; Maître de Flore";"1500 / 1600  (XVIe siècle)";"INV 447; MR 426";"Département des Peintures";;"Richelieu, [Peint] Salle 823 - Première École de Fontainebleau";
cl010061078;"La Mort de Germanicus";"Poussin, Nicolas ; France";"1600 / 1700  (XVIIe siècle)";"INV 8721; B 1326";"Département des Peintures";;"non exposé";
cl010061079;"Le Christ parmi les docteurs";"Serodine, Giovanni ; Italie";"1600 / 1700  (XVIIe siècle)";"RF 1983 4";"Département des Peintures";;"Denon, [Peint] Salle 712 - Grande Galerie, Salle 712 - (3e travée)";
cl010061081;"L' Adoration des bergers";"Sebastiano del Piombo (Sebastianio Luciani, dit) ; Italie";"1500 / 1600  (XVIe siècle)";"INV 825; MR 196";"Département des Peintures";;"non exposé";
cl010061082;"La Visitation";"Sebastiano del Piombo (Sebastianio Luciani, dit) ; Italie";"vers 1519";"INV 357; MR 480";"Département des Peintures";;"Denon, [Peint] Salle 712 - Grande Galerie, Salle 712 - (Tribune)";
cl010061083;"La Sainte Famille avec sainte Catherine d'Alexandrie, saint Sébastien et un donateur";"Sebastiano del Piombo (Sebastianio Luciani, dit) ; Italie";"1500 / 1600  (XVIe siècle)";"INV 70; MR 249";"Département des Peintures";;"Denon, [Peint] Salle 711 - Salle de la Joconde, Salle 711 - (Salle des Etats)";
cl010061084;"La Descente de croix";"Pays-Bas du Sud ; Rubens, Petrus Paulus";"1611 / 1614  (XVIIe siècle)";"INV 1813; B 305";"Département des Peintures";;"non exposé";
cl010061085;"Le Calvaire ou ""Le Coup de lance""";"Rubens, Petrus Paulus ; Pays-Bas du Sud";"après 1620";"INV 1812; B 306";"Département des Peintures";;"non exposé";
cl010061086;"La Place du Carrousel : ruines des Tuileries en 1882";"De Nittis, Giuseppe ; Italie";1882;"RF 372";"Département des Peintures";;"Paris (France), Musée d'Orsay";
cl010061087;"Saint Paul";"Cranach l'ancien, Lucas ; Allemagne";"1500 / 1550  (1e moitié du XVIe siècle)";"MNR 939";"Département des Peintures";;"non exposé";MNR
cl010061088;"Saint Pierre";"Cranach l'ancien, Lucas ; Allemagne";"1500 / 1550  (1e moitié du XVIe siècle)";"MNR 938";"Département des Peintures";;"non exposé";MNR
cl010061089;"Diane et ses nymphes au bain surprises par Actéon. Effet de soleil couchant";"Vallin, Jacques Antoine ; France";1810;"MNR 149";"Département des Peintures";;"Sully, [Peint] Salle 935 - Jacques-Louis David (1745-1825) et ses élèves, l’art du portrait";MNR
cl010061090;"La Vierge de tendresse (Glykophilousa)";"Grèce Crète ; Byzance ; Anonyme";"1400 / 1450  (1e moitié du XVe siècle)";"MI 350; Campana 18";"Département des Arts de Byzance et des Chrétientés en Orient";;"non exposé";
cl010061091;"Achille traînant le corps d'Hector devant les murs de Troie et sous les yeux de Priam et d'Hécube, qui implorent le vainqueur.";"Callet, Antoine François ; France";"1784 / 1785  (4e quart du XVIIIe siècle)";"INV 3099; MR 1291";"Département des Peintures";;"non exposé";
cl010061092;"Les Parents de Pyrame et de Thisbé découvrant les cadavres de leurs enfants";"Bramer, Leonaert ; Pays-Bas";"1630 / 1635  (XVIIe siècle)";"RF 1989 7";"Département des Peintures";;"Richelieu, [Peint] Salle 843 - Le portrait";
cl010061093;"Nature morte : fleurs et fruits";"Jacobber, Moïse ; France";"1800 / 1900  (XIXe siècle)";"INV 1391; LP 3871";"Département des Peintures";;"non exposé";
cl010061094;"Orphée charmant les animaux";"Dubreuil, Toussaint ; France";"1500 / 1600  (XVIe siècle)";"INV 8658; C 32 D 80; B 1532";"Département des Peintures";;"non exposé";
cl010061095;"Portrait d'homme âgé de trente-trois ans.";"Anonyme ; Pays-Bas du Sud ; Vos, Marten de";"1550 / 1600  (2e moitié du XVIe siècle)";"INV 2100; MR 879";"Département des Peintures";;"Richelieu, [Peint] Salle 811 - Pays-Bas du Sud : Anvers, 1550-1580";
cl010061096;"Portrait de femme tenant des gants";"Anonyme ; Flandre Bruges";"1540 / 1560  (Milieu du XVIe siècle)";"RF 2179";"Département des Peintures";;"non exposé";
cl010061102;"Vierge à l'Enfant";"Tiepolo, Giambattista ; Italie";"1730 / 1735  (2e quart du XVIIIe siècle)";"RF 1971 8";"Département des Peintures";;"non exposé";
cl010061104;"Le Triomphe de Mars (un des quatre fragments)";"Coypel, Noël ; France";"1684 / 1690  (Fin du XVIIe siècle)";"INV 3484 B; B 1725";"Département des Peintures";;"non exposé";
cl010061105;"Le Printemps";"Girodet de Roucy-Trioson, Anne-Louis ; France";"1814 / 1815  (1e quart du XIXe siècle)";"INV 4952; MR 1768; C.68.D.95";"Département des Peintures";;"Compiègne (France), Musée national du château de Compiègne";
cl010061106;"Le Christ à la colonne.";"Dupuis, Alexandre ; France";"1800 / 1900  (XIXe siècle)";"INV 20812; L41.1099";"Département des Peintures";;"non exposé";
cl010061107;"Six têtes d'hommes (copie partielle des noces de Cana)";"Paolo Caliari, dit Veronese ; Caliari, Benedetto";"1800 / 1900  (XIXe siècle)";"INV 20829";"Département des Peintures";;"non exposé";
cl010061108;"Deux moines lisant";"Anonyme ; France";"1800 / 1900  (XIXe siècle)";"INV 20825; L41.641";"Département des Peintures";;"non exposé";
cl010061109;"Panorama de Constantinople (divise en 16 compartiments numérotés)";"Prévost, Pierre ; France";"1800 / 1900  (XIXe siècle)";"INV 20828 A";"Département des Peintures";;"non exposé";
cl010061110;"Trois personnages";"Anonyme ; Paolo Caliari, dit Veronese ; France";"1800 / 1900  (XIXe siècle)";"INV 20824; L41.639";"Département des Peintures";;"non exposé";
cl010061111;"Candélabres avec chimères (2\3)";"Anonyme ; France";"1644 / 1654  (XVIIe siècle)";"RF 1975 36 B";"Département des Peintures";;"non exposé";
cl010061112;"Atlantes encadrant un motif imitant un bas-relief de bronze. Candélabres avec chimères (3\3)";"Anonyme ; France";"1600 / 1700  (XVIIe siècle)";"RF 1975 35 C";"Département des Peintures";;"non exposé";
cl010061113;"Atlantes flanquant une allégorie de la Justice et candélabres (2\3)";"Anonyme ; France";"1644 / 1654  (XVIIe siècle)";"RF 1975 35 B";"Département des Peintures";;"non exposé";
cl010061114;"Atlantes flanquant une allégorie de la Justice et candélabres (1/3)";"Anonyme ; France";"1644 / 1654  (XVIIe siècle)";"RF 1975 35 A";"Département des Peintures";;"non exposé";
cl010061115;"Paysage avec une ferme";"Wijnants, Jan ; Pays-Bas";"avant 1672";"INV 1968; MR 1125";"Département des Peintures";;"non exposé";
cl010061116;"Plafond : Les attributs des arts";"Biennourry, Victor François Eloi ; France";1861;"INV 20855";"Département des Peintures";;"non exposé";
cl010061117;"Bacchanale (d'après Titien)";"Colin, Alexandre ; France ; Titien (Tiziano Vecellio, dit Tiziano ou)";"1800 / 1900  (XIXe siècle)";"INV 20856; Sans INV 9";"Département des Peintures";;"non exposé";
cl010061123;"Triptyque de la famille Sedano : volet droit : Marie, épouse de Jean de Sedano, en prière avec saint Jean l'Évangéliste ; face externe : Ève, nue";"David, Gérard ; Pays-Bas du Sud";"1490 / 1495  (4e quart du XVe siècle)";"RF 588 C";"Département des Peintures";;"Richelieu, [Peint] Salle 817 - Répéter et décliner les modèles des grands peintres";
cl010061124;"Initiales FCM dans une couronne de fleurs";"Anonyme ; France";"1644 / 1654  (XVIIe siècle)";"RF 1975 46 B";"Département des Peintures";;"non exposé";
cl010061125;"La Musique (5/5)";"Anonyme ; France";"1644 / 1654  (XVIIe siècle)";"RF 1975 30 E";"Département des Peintures";;"non exposé";
cl010061126;"La Musique (4/5)";"Anonyme ; France";"1644 / 1654  (Milieu du XVIIe siècle)";"RF 1975 30 D";"Département des Peintures";;"non exposé";
cl010061127;"La Musique (2/5)";"Anonyme ; France";"1644 / 1654  (XVIIe siècle)";"RF 1975 30 B";"Département des Peintures";;"non exposé";
cl010061128;"Aigles et trophée";"Anonyme ; France";"1644 / 1654  (XVIIe siècle)";"RF 1975 45 A1";"Département des Peintures";;"non exposé";
cl010061129;"Aigles et trophée";"Anonyme ; France";"1644 / 1654  (XVIIe siècle)";"RF 1975 44 A";"Département des Peintures";;"non exposé";
cl010061130;"Aigles et trophée";"Anonyme ; France";"1644 / 1654  (XVIIe siècle)";"RF 1975 45 B";"Département des Peintures";;"non exposé";
cl010061131;"L'Apollon du Belvedère (3\3)";"Anonyme ; France";"1644 / 1654  (XVIIe siècle)";"RF 1975 33 C";"Département des Peintures";;"non exposé";
cl010061132;"L'Apollon du Belvedère (2\3)";"Anonyme ; France";"1644 / 1654  (XVIIe siècle)";"RF 1975 33 B";"Département des Peintures";;"non exposé";
cl010061133;"L'Apollon du Belvedère (1\3)";"Anonyme ; France";"1644 / 1654  (XVIIe siècle)";"RF 1975 33 A";"Département des Peintures";;"non exposé";
cl010061134;"Candélabres avec chimères (3\3)";"Anonyme ; France";"1644 / 1654  (XVIIe siècle)";"RF 1975 36 C";"Département des Peintures";;"non exposé";
cl010061135;"Paysage avec fontaine et diverses figures. Vue d'Italie";"Bloemen, Jan Frans van ; Pays-Bas du Sud";"1730 / 1740  (Début du XVIIIe siècle)";"INV 1055; MR 564";"Département des Peintures";;"Richelieu, [Peint] Salle 859 - Flandres, Hollande";
cl010061136;"Portrait dit du comte d'Artois, futur Charles X, en buste";"Van Loo, Louis-Michel ; France";"1700 / 1800  (XVIIIe siècle)";"INV 6352; B 2196";"Département des Peintures";;"non exposé";
cl010061137;"Le comte de Provence, futur Louis XVIII en buste";"Van Loo, Louis-Michel ; France";1770;"INV 6304; B 1006";"Département des Peintures";;"non exposé";
cl010061139;"Paysage. Effet de clair de lune";"Vernet, Claude-Joseph ; France";1759;"INV 8311; MR 2647";"Département des Peintures";;"non exposé";
cl010061140;"La Vierge à l'Enfant";"Gessi, Francesco ; Italie";"1600 / 1700  (XVIIe siècle)";"INV 523; MR 289";"Département des Peintures";;"Denon, [Peint] Salle 716 - Grande Galerie, Salle 716 - (5e travée)";
cl010061141;Concert;"Spada, Leonello ; Italie";"vers 1615";"INV 681; MR 490";"Département des Peintures";;"Denon, [Peint] Salle 716 - Grande Galerie, Salle 716 - (4e travée)";
cl010061142;"Saint Paul à Malte rejette dans le feu une vipère";"Verdot, Claude ; France";"vers 1720";"INV 8290; MR 2606";"Département des Peintures";;"non exposé";
cl010061143;"La Tuile";"La Hyre, Laurent de ; France";"1628 / 1630  (2e quart du XVIIe siècle)";"RF 1989 25";"Département des Peintures";;"Richelieu, [Peint] Salle 828 - Les peintres de Louis XIII, roi de France de 1610 à 1643";
cl010061144;"Vue de la Grande Galerie du Louvre, 1841";"Fraser, Patrick Allan ; Ecosse";1841;"RF 1989 38";"Département des Peintures";;"non exposé";
